ID,0,30,60,90,120,150,180,210,240,270,300,330,360
1,2.31,2.3,2.32,2.38,2.41,2.32,2.35,2.41,2.37,2.32,2.33,2.59,2.33
2,2.31,2.3,2.32,2.38,2.41,2.32,2.35,2.41,2.37,2.32,2.33,2.59,2.33
3,2.31,2.3,2.32,2.38,2.41,2.32,2.35,2.41,2.37,2.32,2.33,2.59,2.33
4,2.31,2.3,2.32,2.38,2.41,2.32,2.35,2.41,2.37,2.32,2.33,2.59,2.33
5,2.31,2.3,2.32,2.38,2.41,2.32,2.35,2.41,2.37,2.32,2.33,2.59,2.33
6,2.31,2.3,2.32,2.38,2.41,2.32,2.35,2.41,2.37,2.32,2.33,2.59,2.33
7,2.31,2.3,2.32,2.38,2.41,2.32,2.35,2.41,2.37,2.32,2.33,2.59,2.33
8,2.31,2.3,2.32,2.38,2.41,2.32,2.35,2.41,2.37,2.32,2.33,2.59,2.33
9,2.31,2.3,2.32,2.38,2.41,2.32,2.35,2.41,2.37,2.32,2.33,2.59,2.33
10,2.31,2.3,2.32,2.38,2.41,2.32,2.35,2.41,2.37,2.32,2.33,2.59,2.33
11,2.31,2.3,2.32,2.38,2.41,2.32,2.35,2.41,2.37,2.32,2.33,2.59,2.33
12,2.31,2.3,2.32,2.38,2.41,2.32,2.35,2.41,2.37,2.32,2.33,2.59,2.33
13,2.31,2.3,2.32,2.38,2.41,2.32,2.35,2.41,2.37,2.32,2.33,2.59,2.33
14,2.31,2.3,2.32,2.38,2.41,2.32,2.35,2.41,2.37,2.32,2.33,2.59,2.33
15,2.31,2.3,2.32,2.38,2.41,2.32,2.35,2.41,2.37,2.32,2.33,2.59,2.33
16,2.31,2.3,2.32,2.38,2.41,2.32,2.35,2.41,2.37,2.32,2.33,2.59,2.33
17,2.31,2.3,2.32,2.38,2.41,2.32,2.35,2.41,2.37,2.32,2.33,2.59,2.33
18,2.31,2.3,2.32,2.38,2.41,2.32,2.35,2.41,2.37,2.32,2.33,2.59,2.33
19,2.31,2.3,2.32,2.38,2.41,2.32,2.35,2.41,2.37,2.32,2.33,2.59,2.33
20,2.31,2.3,2.32,2.38,2.41,2.32,2.35,2.41,2.37,2.32,2.33,2.59,2.33
21,2.31,2.3,2.32,2.38,2.41,2.32,2.35,2.41,2.37,2.32,2.33,2.59,2.33
22,2.31,2.3,2.32,2.38,2.41,2.32,2.35,2.41,2.37,2.32,2.33,2.59,2.33
23,2.31,2.3,2.32,2.38,2.41,2.32,2.35,2.41,2.37,2.32,2.33,2.59,2.33
24,2.31,2.3,2.32,2.38,2.41,2.32,2.35,2.41,2.37,2.32,2.33,2.59,2.33
25,2.31,2.3,2.32,2.38,2.41,2.32,2.35,2.41,2.37,2.32,2.33,2.59,2.33
26,2.31,2.3,2.32,2.38,2.41,2.32,2.35,2.41,2.37,2.32,2.33,2.59,2.33
27,2.31,2.3,2.32,2.38,2.41,2.32,2.35,2.41,2.37,2.32,2.33,2.59,2.33
28,2.31,2.3,2.32,2.38,2.41,2.32,2.35,2.41,2.37,2.32,2.33,2.59,2.33
29,2.31,2.3,2.32,2.38,2.41,2.32,2.35,2.41,2.37,2.32,2.33,2.59,2.33
30,2.31,2.3,2.32,2.38,2.41,2.32,2.35,2.41,2.37,2.32,2.33,2.59,2.33
